Code,RQ,Participant,Strand,Data_Type,Source_Tag,Dimension,Data_Point,Paired_With,Classification,Notes
QROR5,RQ1a,Rose,QUAL,IPA Theme,GET 4.4,Cultural,Critique of American drinking-age policy from a European perspective; supervised exposure to alcohol at 16 construed as promoting responsibility; consistent with Addo (2018),,,
QPC1L,RQ1a,Lisa,QUANT,Principal Component,Lisa Substance Grid,PC1,PC1: Stimulation vs. Functional Impairment — 62.8% variance,,,
QPC2L,RQ1a,Lisa,QUANT,Principal Component,Lisa Substance Grid,PC2,PC2: Pharmaceutical Legitimacy vs. Home-Made — 30.78% variance. Independent of PC1; separates substances by manufacturing source,,,
QPC1R,RQ1a,Ramona,QUANT,Principal Component,Ramona Substance Grid,PC1,"PC1: Familiarly Stimulating vs. Unfamiliar Relaxation — 42.33% variance. Two-component solution, 79.97% total.",,,
QPC2R,RQ1a,Ramona,QUANT,Principal Component,Ramona Substance Grid,PC2,PC2: Natural Anxiety Relief vs. Synthetic Dopamine Activation — 37.64% variance. Organizes by neurochemical mechanism and substance origin,,,
QPC1S,RQ1a,Seth,QUANT,Principal Component,Seth Substance Grid,PC1,"PC1: Inclusive Leisure vs. Lower-Class Productivity — 46.7% variance. Two-component solution, 72.6% total.",,,
QPC2S,RQ1a,Seth,QUANT,Principal Component,Seth Substance Grid,PC2,PC2: Active Engagement vs. Medical Isolation — 25.9% variance. Differentiates social/productive use context from medical/isolated use,,,
QPC1Ro,RQ1a,Rose,QUANT,Principal Component,Rose Substance Grid,PC1,PC1: Alternative Lifestyle Use vs. Harmful Poly-Use — 54.76% variance,,,
QPC2Ro,RQ1a,Rose,QUANT,Principal Component,Rose Substance Grid,PC2,PC2: Illicit Affordability vs. Legal and Expensive — 30.61% variance. Separates by legal status and cost independent of PC1,,,
Q1,RQ1a,Lisa,QUANT,Construct Loading,Lisa Substance Grid PC1,Stimulation vs. Functional Impairment,PC1 = 0.934; PC2 = -0.203,,,
Q2,RQ1a,Lisa,QUANT,Construct Loading,Lisa Substance Grid PC1,"Produce Buzzy, Wired-up Effects vs. Depressant",PC1 = 0.916; PC2 = 0.355,,,
Q3,RQ1a,Lisa,QUANT,Construct Loading,Lisa Substance Grid PC1,Functioning Severely Impacted vs. No Harm,PC1 = -0.883; PC2 = 0.319,,,
Q4,RQ1a,Lisa,QUANT,Construct Loading,Lisa Substance Grid PC2,Pharmaceutical Grade vs. Home-Made,PC1 = 0.148; PC2 = 0.981,,,
Q11,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC1,Experience Working With vs. No Experience,PC1 = 0.916; PC2 = -0.037,,,
Q12,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC1,Personal Use Frequency vs. Infrequent/Nonexistent Personal Use,PC1 = 0.883; PC2 = 0.410,,,
Q13,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC1,Used for Relaxation vs. Used for Energy,PC1 = -0.884; PC2 = 0.341,,,
Q14,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC2,Treatment Involves Addressing Dopamine vs. Treatment Addresses Anxiety,PC1 = 0.197; PC2 = -0.887,,,
Q15,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC2,Stimulant vs. Depressant,PC1 = 0.457; PC2 = -0.820,,,
Q16,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC2,Naturally Occurring vs. Lab-Made,PC1 = 0.369; PC2 = 0.731,,,
Q17,RQ1a,Ramona,QUANT,Construct Loading,Ramona Substance Grid PC2,Liquid State vs. Pills/Solid Form,PC1 = 0.423; PC2 = 0.597,,,
Q26,RQ1a,Seth,QUANT,Construct Loading,Seth Substance Grid PC1,Not Limited by Class vs. Limited to Lower SES,PC1 = 0.546; PC2 = 0.222,,,
Q27,RQ1a,Seth,QUANT,Construct Loading,Seth Substance Grid PC1,Oral Route of Administration vs. Inhalation,PC1 = 0.539; PC2 = 0.005,,,
Q28,RQ1a,Seth,QUANT,Construct Loading,Seth Substance Grid PC1,Medical vs. Non-Medical,PC1 = 0.369; PC2 = -0.387,,,
Q29,RQ1a,Seth,QUANT,Construct Loading,Seth Substance Grid PC1,"Social, Partying vs. Used in Isolation",PC1 = 0.356; PC2 = 0.682,,,
Q30,RQ1a,Seth,QUANT,Construct Loading,Seth Substance Grid PC2,Used for Productivity vs. Used for Relaxation,PC1 = -0.386; PC2 = 0.580,,,
Q39,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1,Alternative/Hippie Stereotype Lifestyle vs. Stereotype of Justice Involvement/Illegal Activities,PC1 = 0.939; PC2 = -0.207,,,
Q40,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1,Mind-Altering vs. Mood-Altering,PC1 = 0.783; PC2 = 0.431,,,
Q41,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1/PC2,Partying vs. Self-Medicating,PC1 = 0.748; PC2 = -0.233,,,
Q42,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1,Affordable vs. Expensive,PC1 = 0.321; PC2 = 0.883,,,
Q43,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1,Licit vs. Illicit,PC1 = -0.281; PC2 = -0.927,,,
Q44,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC1,Poly Substance Use vs. Isolated Use of One Substance,PC1 = -0.830; PC2 = 0.444,,,
Q45,RQ1a,Rose,QUANT,Construct Loading,Rose Substance Grid PC2,More Side Effects from Overuse vs. Fewer Side Effects,PC1 = -0.953; PC2 = 0.151,,,
Q5,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Cocaine,"Cocaine ≈ -4.4 PC1, ≈ -1.0 PC2. Stimulating, mid-low legitimacy.",,,
Q6,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Stimulants,"Stimulants ≈ -4.3 PC1, ≈ -0.9 PC2. Clustered with Cocaine.",,,
Q7,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Skunk Cannabis,"Skunk Cannabis ≈ 0.7 PC1, ≈ 2.6 PC2. Mid-range stimulation, high home-made pole.",,,
Q8,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Benzos,"Benzos ≈ 1.5 PC1, ≈ 2.0 PC2. Mild impairment, home-made pole.",,,
Q9,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Alcohol,"Alcohol ≈ 2.8 PC1, ≈ -2.0 PC2. Impairment end, pharmaceutical pole.",,,
Q10,RQ1a,Lisa,QUANT,Element Position,Lisa Substance Grid,Ketamine,"Ketamine ≈ 3.9 PC1, ≈ -0.7 PC2. Most impairment-loaded element.",,,
Q18,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Cocaine,"Cocaine ≈ -5.7 PC1, ≈ 3.0 PC2. Familiar pole, synthetic dopamine activation end.",,,
Q19,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Methamphetamines,"Methamphetamines ≈ -3.6 PC1, ≈ 4.6 PC2. Most extreme synthetic-dopamine position.",,,
Q20,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Alcohol,"Alcohol ≈ -2.2 PC1, ≈ -5.4 PC2. Familiar pole, strongest natural anxiety relief end.",,,
Q21,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Marijuana,"Marijuana ≈ -2.8 PC1, ≈ -5.0 PC2. Clustered with Alcohol.",,,
Q22,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Opiates,"Opiates ≈ -0.6 PC1, ≈ 0.1 PC2. Origin/centroid position.",,,
Q23,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Hallucinogens,"Hallucinogens ≈ 1.7 PC1, ≈ 0.8 PC2. Unfamiliar pole, mild synthetic activation.",,,
Q24,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Sedatives,"Sedatives ≈ 6.7 PC1, ≈ 0.5 PC2. Extreme unfamiliar pole.",,,
Q25,RQ1a,Ramona,QUANT,Element Position,Ramona Substance Grid,Barbiturates,"Barbiturates ≈ 6.7 PC1, ≈ 1.3 PC2. Clustered with Sedatives at unfamiliar pole.",,,
Q31,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Alcohol,"Alcohol ≈ -2.6 PC1, ≈ -0.3 PC2. Inclusive leisure pole, mid-range engagement",,,
Q32,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Shrooms,"Shrooms ≈ -2.0 PC1, ≈ -1.0 PC2. Inclusive leisure, social-partying region",,,
Q33,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,MDMA,"MDMA ≈ -1.8 PC1, ≈ -2.0 PC2. Most extreme social-partying anchor",,,
Q34,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Marijuana,"Marijuana ≈ -0.6 PC1, ≈ -0.5 PC2. Mid leisure pole, mild social region",,,
Q35,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Opiates,"Opiates ≈ -1.6 PC1, ≈ 2.8 PC2. Extreme medical isolation pole",,,
Q36,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,K2,"K2 ≈ 2.5 PC1, ≈ 2.0 PC2. Lower-class productivity pole, medical-isolation region",,,
Q37,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Methamphetamine,"Methamphetamine ≈ 2.7 PC1, ≈ -0.6 PC2. Lower-class productivity anchor",,,
Q38,RQ1a,Seth,QUANT,Element Position,Seth Substance Grid,Crack Cocaine,"Crack Cocaine ≈ 3.3 PC1, ≈ -0.4 PC2. Extreme lower-class productivity anchor",,,
Q46,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,MDMA,"MDMA ≈ -7.2 PC1, ≈ -0.3 PC2. Extreme alternative lifestyle pole.",,,
Q47,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Mushrooms,"Mushrooms ≈ -7.2 PC1, ≈ -1.0 PC2. Clustered with MDMA at alternative lifestyle anchor.",,,
Q48,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Cannabis,"Cannabis ≈ -1.0 PC1, ≈ 0.8 PC2. Mid-range, leaning alternative-lifestyle and licit.",,,
Q49,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Cocaine,"Cocaine ≈ 1.5 PC1, ≈ -1.4 PC2. Harmful poly-use region, illicit affordability end.",,,
Q50,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Adderall/Rx Stimulants,"Adderall/Rx Stimulants ≈ 2.0 PC1, ≈ 3.6 PC2. Legal/expensive pole, moderate poly-use.",,,
Q51,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Alcohol,"Alcohol ≈ 3.0 PC1, ≈ 4.3 PC2. Extreme legal/expensive anchor, harmful poly-use end.",,,
Q52,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Methamphetamine,"Methamphetamine ≈ 4.0 PC1, ≈ -2.6 PC2. Harmful poly-use, illicit affordability region.",,,
Q53,RQ1a,Rose,QUANT,Element Position,Rose Substance Grid,Heroin,"Heroin ≈ 5.5 PC1, ≈ -3.4 PC2. Most extreme harmful poly-use anchor, illicit affordability end.",,,
QLL1,RQ1b,Lisa,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Consistent use of 'substance misuser,' distancing clients from pathological labels; prefix 'mis-' implies threshold where use itself is unremarkable",,,
QLL2,RQ1b,Lisa,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Placed substance use within ordinary variability of human experience; 'They get depressed, they get anxious, they take drugs, they don't take drugs...they love their families, they don't love their families'",,,
QLL3,RQ1b,Lisa,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Recognized incarcerated client's sales abilities despite criminal history; strengths-based, person-first construal; 'He could have sold Coles to Newcastle!'",,,
QLL4,RQ1b,Lisa,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,Linguistic oscillation between 'had a substance misuse problem' (condition) and 'are substance misusers' (identity); shifts between conditional and identity-based framings,,,
QLL5,RQ1b,Lisa,QUAL,IPA Theme,"GET 1, 1.2",B: Loss/Proximity,"First people grid construct was mortality ('dead or alive'), transformed into avoidance-versus-closeness; the dead held close through grief while some living kept at distance",,,
QLL6,RQ1b,Lisa,QUAL,IPA Theme,"GET 1, 1.2",B: Loss/Proximity,"Advocacy for murdered friend Marno against legal system's dehumanizing language; 'In the court documents, some lawyer referred to her as just a waitress'",,,
QLL7,RQ1b,Lisa,QUAL,IPA Theme,"GET 1, 1.3",B: Loss/Proximity,"Memorialized Marno through cultural and spiritual meaning-making; 'the Egyptians had an ancient belief that if someone says your name, you never...your soul never dies'",,,
QLL8,RQ1b,Lisa,QUAL,IPA Theme,"GET 1, 1.1",B: Loss/Proximity,Teenagers unknowingly exposed to laced drugs construed as victims of market exploitation; people framed through forces acting upon them,,,
QLL9,RQ1b,Lisa,QUAL,IPA Theme,"GET 3, 3.1",C: Self-Positioning,Generational framing of substance knowledge within 1960s cultural context; experimentation as historically contextualized and modest,,,
QLL10,RQ1b,Lisa,QUAL,IPA Theme,"GET 3, 3.1",C: Self-Positioning,"Generational cohort's substance knowledge as cultural value; 'We knew a lot, because we felt we should'",,,
QLL11,RQ1b,Lisa,QUAL,IPA Theme,"GET 1, 1.4",C: Self-Positioning,"Music industry exposure demystified identity of person who uses substances, eliminating relational distance between counselor and client",,,
QLL12,RQ1b,Lisa,QUAL,IPA Theme,"GET 5, 5.5",C: Self-Positioning,Fatigue during grid elicitation produced unmodulated evaluative language ('Hannah's an arrogant cow'); sustained empathic framing depends on cognitive resources,,,
QRR1,RQ1b,Ramona,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,Empathy for what clients lose in recovery from stimulant use; 'You're talking about dealing with not feeling stimulated all the time. And not have that immediate...Rush of dopamine',,,
QRR2,RQ1b,Ramona,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,Conditional framework for consequences; substances do not carry inherent negative outcomes; pathology emerges only 'with overuse',,,
QRR3,RQ1b,Ramona,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Refused to generalize about sedatives because she lacked clinical experience; 'I haven't treated a lot of people that are coming specifically off of sedatives, so I don't know how to speak to that'",,,
QRR4,RQ1b,Ramona,QUAL,IPA Theme,"GET 5, 5.5",A: Humanizing,Rejected hierarchy with visceral discomfort; 'I don't do this thing where I'm better than...You know that feels icky to me to even say that',,,
QRR5,RQ1b,Ramona,QUAL,IPA Theme,"GET 1, 1.4",A: Humanizing,"'We' language in sessions; active refusal to other clients; 'when I'm talking with them, I do say we. You know, when we get ourselves in these positions' [also RQ3]",,,
QRR6,RQ1b,Ramona,QUAL,IPA Theme,"GET 1, 1.2",B: Loss/Proximity,"Existential confusion about differential outcomes; 'I was abusing the substance equally...but I didn't understand why I could stop, and they couldn't'; labeled as survivor's guilt",,,
QRR7,RQ1b,Ramona,QUAL,IPA Theme,"GET 1, 1.3",B: Loss/Proximity,"Survivor's guilt became intellectual pursuit through addiction coursework; 'Oh, this is fascinating! I want to know more about this'",,,
QRR8,RQ1b,Ramona,QUAL,IPA Theme,"GET 3, 3.1",C: Self-Positioning,Described 'dabbling' without becoming addicted; question of differential outcomes as central professional puzzle,,,
QRR9,RQ1b,Ramona,QUAL,IPA Theme,GET 5,C: Self-Positioning,Identified colleague effective through familial proximity without personal addiction; third pathway to clinical understanding,,,
QRR10,RQ1b,Ramona,QUAL,IPA Theme,Interview (people grid),C: Self-Positioning,"Acknowledged construals differ depending on relationship; three distinct lenses for self, family member, and clients",,,
QRR11,RQ1b,Ramona,QUAL,IPA Theme,Interview data,C: Self-Positioning,Delayed mutual disclosure with substance-using family member; shared use history creates connection across relational categories [also RQ3],,,
QRR12,RQ1b,Ramona,QUAL,IPA Theme,"GET 5, 5.5",C: Self-Positioning,Narcissism and passive-aggression as specific countertransference triggers; visceral language ('ick') mirrored hierarchy-rejection vocabulary,,,
QRR13,RQ1b,Ramona,QUAL,IPA Theme,"GET 4, 4.3/4.4",C: Self-Positioning,Gendered social dynamics in addiction; women become addicted faster and are more socially influenced by men to begin using,,,
QRR14,RQ1b,Ramona,QUAL,IPA Theme,"GET 4, 4.4",C: Self-Positioning,"Race absent from clinical experience as a factor; 'I don't think race, I don't...in my experience, I don't see race as a factor'",,,
QSS1,RQ1b,Seth,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Emphasized subjective experience of clients and purpose behind use; 'What they're looking to get with the experience and kind of, what's the purpose behind the use?'",,,
QSS2,RQ1b,Seth,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,Developmental construct distinguishing exploration (adolescent use) from productivity (adult use); functional purpose at every stage,,,
QSS3,RQ1b,Seth,QUAL,IPA Theme,"GET 1, 1.1",B: Loss/Proximity,Early encounters with addiction-related behavior (bar patrons arriving before opening) produced bewilderment rather than visceral threat; curiosity drew him toward specialization,,,
QSS4,RQ1b,Seth,QUAL,IPA Theme,"GET 4, 4.2",C: Self-Positioning,Emphasized understanding clients' subjective emotional and physiological states; 'Looking for that kind of slow-down feel',,,
QRO1,RQ1b,Rose,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Rejected 'overdose' in favor of 'overusing,' placing consequences within context; threshold-based humanizing pattern",,,
QRO2,RQ1b,Rose,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Described opioid effects in phenomenological terms; 'Individuals would not really function...They're nodded out, they are sometimes not even really there'",,,
QRO3,RQ1b,Rose,QUAL,IPA Theme,"GET 4, 4.2",A: Humanizing,"Differentiated between recreational use and coping; 'Alcohol, cocaine - party...heroin would be more self-medicating'",,,
QRO4,RQ1b,Rose,QUAL,IPA Theme,"GET 5, 5.5",A: Humanizing,Active resistance to stereotyping with 'constant awareness'; named specific assumptions she refused to hold,,,
QRO5,RQ1b,Rose,QUAL,IPA Theme,"GET 5, 5.5",A: Humanizing,Empathy with challenging clients requires deliberate effort; empathy framed as active intervention rather than organic feeling,,,
QRO6,RQ1b,Rose,QUAL,IPA Theme,"GET 1, 1.2",B: Loss/Proximity,"Construed father through family systems lens; 'Dad never did treatment, so he never got better'",,,
QRO7,RQ1b,Rose,QUAL,IPA Theme,"GET 1, 1.4",B: Loss/Proximity,Extended familial observations to clinical work; families need help alongside identified patient,,,
QRO8,RQ1b,Rose,QUAL,IPA Theme,"GET 3, 3.1",C: Self-Positioning,Applied clinical lens retrospectively to own past substance use ('not a healthy relationship'); named current nicotine dependence without defensiveness,,,
QRO9,RQ1b,Rose,QUAL,IPA Theme,"GET 5, 5.5",C: Self-Positioning,"Acknowledged growth from early-career stereotyping; 'Early on, I did kind of stereotype whatever substance somebody would use. You see them in a different light'",,,
NLL1,RQ1b,Lisa,QUANT,Principal Component,Lisa People Grid,PC1,"PC1: Empathetic Familiarity vs. Dysfunctionally Distanced (74.36% variance). Two-component solution, 87.29% total.",,,
NLL2,RQ1b,Lisa,QUANT,Principal Component,Lisa People Grid,PC2,PC2: Peer Critique vs. Outsider Idealization (12.93% variance). Secondary dimension distinguishing demographic peers from culturally different individuals.,,,
NLL3,RQ1b,Lisa,QUANT,Structural Absence,Lisa People Grid,Structural absence,No addiction-specific constructs were elicited for Lisa's People Grid.,,,
NRR1,RQ1b,Ramona,QUANT,Principal Component,Ramona People Grid,PC1,"PC1: Psychological Stability vs. Dysfunctional Pathology (61.59% variance). Two-component solution, 76.50% total.",,,
NRR2,RQ1b,Ramona,QUANT,Principal Component,Ramona People Grid,PC2,PC2: Investment in Masculinity vs. Disengaged with Femininity (14.91% variance). Secondary dimension linking masculinity with relational energy investment.,,,
NSS1,RQ1b,Seth,QUANT,Principal Component,Seth People Grid,PC1,"PC1: Holistic Alignment vs. Frustrating Dissonance (63.60% variance). Two-component solution, 83.20% total. No addiction-specific content.",,,
NSS2,RQ1b,Seth,QUANT,Principal Component,Seth People Grid,PC2,PC2: Less-Skilled Personal Relationships vs. Aligned Mentors (19.60% variance). Secondary dimension distinguishing personal closeness and age proximity from professional skill and mentorship.,,,
NSS3,RQ1b,Seth,QUANT,Structural Absence,Seth People Grid,Structural absence,No addiction-specific constructs were elicited for Seth's People Grid.,,,
NRO1,RQ1b,Rose,QUANT,Principal Component,Rose People Grid,PC1,"PC1: Compassionate Cultural Awareness vs. Dominating Self-Centeredness (49.90% variance). Three-component solution, 82.73% total.",,,
NRO2,RQ1b,Rose,QUANT,Principal Component,Rose People Grid,PC2,PC2: Rigid Program Submission vs. Assertive Cultural Competence (19.60% variance). Secondary dimension distinguishing AA adherence from individualized cultural competence.,,,
NRO3,RQ1b,Rose,QUANT,Principal Component,Rose People Grid,PC3,PC3: Mainstream Openness vs. Marginalized Rigidity (13.23% variance). Tertiary dimension in which open-mindedness clusters with dominant culture positioning.,,,
NLL4,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Close to Self vs. Avoidance — PC1 = 0.984,,,
NLL5,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,"Patient, Empathetic, Compassionate vs. Biased, Paranoid — PC1 = 0.956; PC2 = -0.181",,,
NLL6,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Authentic vs. Inauthentic — PC1 = 0.933; PC2 = -0.134,,,
NLL7,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Fulfilling Life vs. Unfulfilled Life — PC1 = 0.892,,,
NLL8,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Culturally Similar vs. Culturally Different — PC1 = 0.790; PC2 = 0.549,,,
NLL9,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Similar in Age vs. Younger Age — PC1 = 0.754; PC2 = 0.625,,,
NLL10,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,"Arrogant, Rude vs. Polite, Respectful — PC1 = -0.865; PC2 = 0.272",,,
NLL11,RQ1b,Lisa,QUANT,Construct Loading,Lisa People Grid,PC1/PC2 loadings,Makes Poor Choices vs. Makes Better Choices — PC1 = -0.678; PC2 = 0.460,,,
NRR3,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,Mentally Unstable vs. Mental Stability — PC1 = -0.956; PC2 = -0.203,,,
NRR4,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,Narcissistic and Passive Aggressive vs. Agreeable and Selfless — PC1 = -0.911; PC2 = 0.021,,,
NRR5,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,"Naturally Warm and Empathetic vs. Blunt, Abrupt, Not Warm — PC1 = 0.886; PC2 = 0.163",,,
NRR6,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,Leadership Qualities vs. Non-Leader — PC1 = 0.852; PC2 = -0.194,,,
NRR7,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,Educated vs. Not Educated — PC1 = 0.804; PC2 = -0.251,,,
NRR8,RQ1b,Ramona,QUANT,SU Construct Loading,Ramona People Grid,PC1/PC2 loadings,Addict vs. Non-Addict — PC1 = -0.762; PC2 = 0.098,,,
NRR9,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,Masculine vs. Feminine — PC1 = -0.336; PC2 = 0.762,,,
NRR10,RQ1b,Ramona,QUANT,Construct Loading,Ramona People Grid,PC1/PC2 loadings,"Likes Them, Invests Energy Into Relationship vs. Dislikes, Doesn't Invest — PC1 = 0.577; PC2 = 0.658",,,
NSS4,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Agreeable Approach to Life vs. Conflicting Approach — PC1 = 0.402; PC2 = 0.104,,,
NSS5,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Refreshing to Spend Time with vs. Frustrating to Spend Time with — PC1 = 0.399; PC2 = -0.047,,,
NSS6,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Biopsychosocial Model vs. Disease Model of Addiction — PC1 = 0.382; PC2 = -0.109,,,
NSS7,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Aligns With My Approach vs. Disaligned with My Approach — PC1 = 0.371; PC2 = -0.400,,,
NSS8,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Ethical Behavior vs. Unethical Behavior — PC1 = 0.367; PC2 = -0.132,,,
NSS9,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Educational Credibility vs. Less Reliant on Credentials — PC1 = 0.353; PC2 = -0.075,,,
NSS10,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Current Skills vs. Future/Potential Skills — PC1 = 0.202; PC2 = -0.593,,,
NSS11,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Personal Relationship vs. Professional Relationship — PC1 = 0.256; PC2 = 0.483,,,
NSS12,RQ1b,Seth,QUANT,Construct Loading,Seth People Grid,PC1/PC2 loadings,Close in Age vs. Different in Age — PC1 = 0.173; PC2 = 0.605,,,
